simpleid,ID,CVCL,GDSC,CCLE,GNE,PharmacoGX_ID,SRR,EGAF,EGAN,gCSI_RNA
GMS10,GMS-10,CVCL_1233,GMS-10.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E10_293394,NA,GMS-10,SRR8615383,NA,NA,NA
GOS3,GOS-3,CVCL_2050,NA,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D09_293368,NA,GOS-3,SRR8615382,NA,NA,NA
GOTO,GOTO,CVCL_1234,GOTO.cel,NA,NA,GOTO,NA,EGAF00000859710,EGAN00001266109,NA
GP2D,GP2d,CVCL_2450,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B04_578442,Unk649,GP2d,SRR8615381,NA,NA,639156_1
GP5D,GP5d,CVCL_1235,GP5d.cel,NA,Unk631,GP5d,NA,EGAF00000684902,EGAN00001202152,639157_1
GRANTA519,GRANTA-519,CVCL_1818,GRANTA-519.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G07_542862,Unk45,Granta-519,SRR8615380,NA,NA,587613_1
GRM,GR-M,CVCL_2451,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H02_578396,Unk500,NA,NA,NA,NA,636807_1
GRST,GR-ST,CVCL_1236,GR-ST.cel,NA,NA,GR-ST,NA,EGAF00000859711,EGAN00001266110,NA
GSS,GSS,CVCL_8876,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_C05_592630,NA,GSS,SRR8615379,NA,NA,NA
GSU,GSU,CVCL_8877,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_D02_592746,NA,GSU,SRR8615389,NA,NA,NA
GT3TKB,GT3TKB,CVCL_1237,GT3TKB.cel,NA,NA,GT3TKB,NA,EGAF00000859712,EGAN00001266111,NA
GTL16,GTL-16,CVCL_7668,NA,NA,Unk79,NA,NA,NA,NA,587012_1
H1355,H1355,CVCL_1464,NA,NA,Unk51,NA,NA,NA,NA,NA
H1373,H1373,CVCL_1465,NA,NA,Unk53,NA,NA,NA,NA,NA
H1573,H1573,CVCL_1478,NA,NA,Unk18,NA,NA,NA,NA,NA
H1693,H1693,CVCL_1488,NA,NA,Unk20,NA,NA,NA,NA,NA
H1770,H1770,CVCL_1493,NA,NA,Unk141,NA,NA,NA,NA,NA
H1792,H1792,CVCL_1495,NA,NA,Unk19,NA,NA,NA,NA,NA
H2196,H2196,CVCL_1539,NA,NA,NA,NA,NA,NA,NA,NA
H2198,H2198,CVCL_1540,NA,NA,NA,NA,NA,NA,NA,NA
H2369,H2369,CVCL_A532,H2369.cel,NA,NA,NA,NA,EGAF00000660850,EGAN00001202153,NA
H2373,H2373,CVCL_A533,H2373.cel,NA,NA,NA,NA,EGAF00000660851,EGAN00001202154,NA
H2461,H2461,CVCL_A536,NA,NA,NA,NA,NA,EGAF00000660852,EGAN00001202155,NA
H2591,H2591,CVCL_A543,H2591.cel,NA,NA,NA,NA,EGAF00000660853,EGAN00001202156,NA
H2595,H2595,CVCL_A545,ega-box-03_H2595.cel,NA,NA,NA,NA,EGAF00000660854,EGAN00001202157,NA
H2722,H2722,CVCL_U994,H2722.cel,NA,NA,NA,NA,EGAF00000660855,EGAN00001202158,NA
H2731,H2731,CVCL_U995,H2731.cel,NA,NA,NA,NA,EGAF00000660856,EGAN00001202159,NA
H2795,H2795,CVCL_U996,H2795.cel,NA,NA,NA,NA,EGAF00000660857,EGAN00001202160,NA
H2803,H2803,CVCL_U997,H2803.cel,NA,NA,NA,NA,EGAF00000660858,EGAN00001202161,NA
H2804,H2804,CVCL_U998,H2804.cel,NA,NA,NA,NA,EGAF00000660859,EGAN00001202162,NA
H2810,H2810,CVCL_U999,H2810.cel,NA,NA,NA,NA,EGAF00000660860,EGAN00001202163,NA
H2818,H2818,CVCL_V000,H2818.cel,NA,NA,NA,NA,EGAF00000660861,EGAN00001202164,NA
H2869,H2869,CVCL_V001,H2869.cel,NA,NA,NA,NA,EGAF00000660862,EGAN00001202165,NA
H290,H290,CVCL_A555,H290.cel,NA,NA,NA,NA,EGAF00000660863,EGAN00001202166,NA
H3118,H3118,CVCL_A464,H3118.cel,NA,NA,NA,NA,EGAF00000859713,EGAN00001266112,NA
H322T,H322T,CVCL_1556,NA,NA,Unk5,NA,NA,NA,NA,635621_1
H3255,H3255,CVCL_6831,H3255.cel,NA,NA,NA,NA,NA,NA,NA
H4,H4,CVCL_1239,H4.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C03_411056,NA,H4,SRR8615388,NA,NA,NA
H513,H513,CVCL_A570,H513.cel,NA,NA,NA,NA,EGAF00000660864,EGAN00001202167,NA
H69AR,H69AR,CVCL_3513,NA,NA,NA,NA,NA,NA,NA,NA
H9,H9,CVCL_1240,H9.cel,NA,NA,H9,NA,EGAF00000859714,EGAN00001266113,NA
HA7RCC,HA7-RCC,CVCL_1241,HA7-RCC.cel,NA,NA,HA7-RCC,NA,EGAF00000824151,EGAN00001252854,NA
HAL,HAL,CVCL_D788,NA,NA,NA,NA,NA,EGAF00000773583,EGAN00001236648,NA
HAL01,HAL-01,CVCL_1242,HAL-01.cel,NA,NA,HAL-01,NA,EGAF00000859715,EGAN00001236648,NA
HARA,HARA,CVCL_2914,HARA.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B06_335222,NA,NA,SRR8615820,NA,NA,NA
HBL100,HBL-100,CVCL_4362,NA,NA,Unk490,NA,NA,NA,NA,635984_1
HC1,HC-1,CVCL_1243,HC-1.cel,NA,NA,HC-1,NA,EGAF00000859716,EGAN00001266115,NA
HCA7,HCA-7,CVCL_0289,NA,NA,Unk504,NA,NA,NA,NA,636125_1
HCC1011,HCC1011,CVCL_V675,NA,NA,Unk557,NA,NA,NA,NA,636753_1
HCC1143,HCC1143,CVCL_1245,HCC1143.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B11_410900,Unk161,HCC1143,SRR8615819,NA,NA,587446_1
HCC1162,HCC1162,CVCL_V651,NA,NA,Unk278,NA,NA,NA,NA,636108_1
HCC1171,HCC-1171,CVCL_5126,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_C04_592644,Unk281,HCC1171,SRR8615818,NA,NA,636065_1
HCC1187,HCC1187,CVCL_1247,HCC1187.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B11_437316,Unk162,HCC1187,SRR8615817,EGAF00000661926,EGAN00001209141,587447_1
HCC1195,HCC-1195,CVCL_5127,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E02_592714,NA,HCC1195,SRR8615824,NA,NA,NA
HCC12,HCC12,CVCL_V719,NA,NA,Unk478,NA,NA,NA,NA,636204_1
HCC1263,HCC1263,CVCL_V686,NA,NA,Unk324,NA,NA,NA,NA,636100_1
HCC1319,HCC1319,CVCL_V671,NA,NA,Unk302,NA,NA,NA,NA,636758_1
HCC1359,HCC1359,CVCL_5128,NA,NA,Unk424,NA,SRR8615823,NA,NA,636786_1
HCC1395,HCC1395,CVCL_1249,HCC1395.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H12_335378,Unk164,HCC1395,SRR8615822,NA,NA,587448_1
HCC1419,HCC1419,CVCL_1251,HCC1419.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A08_464616,Unk163,HCC1419,SRR8615821,NA,NA,587449_1
HCC1428,HCC1428,CVCL_1252,HCC1428.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F08_698666,Unk165,HCC1428,SRR8615816,NA,NA,587450_1
HCC1438,HCC1438,CVCL_L088,NA,NA,NA,NA,SRR8615815,NA,NA,NA
HCC1482,HCC1482,CVCL_V591,NA,NA,Unk406,NA,NA,NA,NA,636744_1
HCC1493,HCC1493,CVCL_V592,NA,NA,Unk311,NA,NA,NA,NA,636754_1
HCC15,HCC-15,CVCL_2057,HCC-15.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H01_293448,Unk21,HCC15,SRR8616176,NA,NA,587541_1
HCC1500,HCC1500,CVCL_1254,HCC1500.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A04_464624,Unk166,HCC1500,SRR8616180,NA,NA,587451_1
HCC1534,HCC1534,CVCL_V595,NA,NA,Unk455,NA,NA,NA,NA,636818_1
HCC1569,HCC1569,CVCL_1255,HCC1569.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G07_698658,Unk168,HCC1569,SRR8616181,NA,NA,587452_1
HCC1576,HCC1576,CVCL_V597,NA,NA,Unk502,NA,NA,NA,NA,636881_1
HCC1588,HCC1588,CVCL_A351,NA,NA,NA,NA,SRR8616182,NA,NA,NA
HCC1599,HCC1599,CVCL_1256,HCC1599.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H11_464630,Unk167,HCC1599,SRR8616183,NA,NA,587453_1
HCC1806,HCC1806,CVCL_1258,HCC1806.cel,NA,Unk169,HCC1806,SRR8616177,EGAF00000661927,EGAN00001209142,587454_1
HCC1833,HCC1833,CVCL_5129,NA,NA,NA,NA,SRR8616178,NA,NA,NA
HCC1897,HCC-1897,CVCL_V578,NA,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_E08_780228,NA,NA,NA,NA,NA,NA
HCC193,HCC193,CVCL_5130,NA,NA,Unk660,NA,NA,NA,NA,636196_1
HCC1937,HCC1937,CVCL_0290,HCC1937.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B04_437302,Unk170,HCC1937,SRR8616179,NA,NA,587455_1
HCC1954,HCC1954,CVCL_1259,HCC1954.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A04_437564,Unk172,HCC1954,SRR8616174,NA,NA,587456_1
HCC202,HCC202,CVCL_2062,HCC202.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B12_437318,Unk171,HCC202,SRR8616175,NA,NA,587457_1
HCC2108,HCC2108,CVCL_A352,NA,NA,NA,NA,SRR8615999,NA,NA,NA
HCC2157,HCC2157,CVCL_1261,HCC2157.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A07_464618,Unk362,HCC2157,SRR8615891,NA,NA,636038_1
HCC2218,HCC2218,CVCL_1263,HCC2218.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A05_437578,Unk173,HCC2218,SRR8616001,NA,NA,587458_1
HCC2270,HCC2270,CVCL_V635,NA,NA,Unk457,NA,NA,NA,NA,636443_1
HCC2279,HCC-2279,CVCL_5131,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B12_698578,Unk531,HCC2279,SRR8616000,NA,NA,635622_1
HCC2302,HCC2302,CVCL_V636,NA,NA,Unk604,NA,NA,NA,NA,636773_1
HCC2429,HCC2429,CVCL_5132,NA,NA,NA,NA,SRR8615995,NA,NA,NA
HCC2450,HCC2450,CVCL_5133,NA,NA,NA,NA,SRR8615994,NA,NA,NA
HCC2688,HCC2688,CVCL_3376,NA,NA,Unk613,NA,NA,NA,NA,635985_1
HCC2814,HCC2814,CVCL_V586,NA,NA,NA,NA,SRR8615997,NA,NA,NA
HCC2885,HCC2885,CVCL_V588,NA,NA,Unk456,NA,NA,NA,NA,636444_1
HCC2911,HCC2911,CVCL_0V16,NA,NA,Unk489,NA,NA,NA,NA,635986_1
HCC2935,HCC2935,CVCL_1265,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F02_698602,Unk392,HCC2935,SRR8615996,NA,NA,635623_1
HCC2998,HCC2998,CVCL_1266,HCC2998.cel,NA,NA,HCC2998,NA,EGAF00000684903,EGAN00001202168,NA
HCC33,HCC-33,CVCL_2058,NA,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G04_490362,Unk652,HCC33,SRR8615900,NA,NA,639151_1
HCC364,HCC364,CVCL_5134,NA,NA,Unk280,NA,SRR8615897,NA,NA,636858_1
HCC366,HCC-366,CVCL_2059,HCC-366.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G01_256146,Unk544,HCC366,SRR8615457,NA,NA,636844_1
HCC38,HCC38,CVCL_1267,HCC38.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H06_410918,Unk174,HCC38,SRR8615458,NA,NA,587459_1
HCC4006,HCC4006,CVCL_1269,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A06_464612,Unk532,HCC4006,SRR8615455,NA,NA,635624_1
HCC4011,HCC4011,CVCL_S700,NA,NA,Unk391,NA,NA,NA,NA,635625_1
HCC4017,HCC4017,CVCL_V579,NA,NA,Unk282,NA,NA,NA,NA,636066_1
HCC4019,HCC4019,CVCL_V581,NA,NA,NA,NA,NA,NA,NA,NA
HCC44,HCC-44,CVCL_2060,HCC-44.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F01_293400,Unk512,HCC44,SRR8615456,NA,NA,636135_1
HCC461,HCC461,CVCL_5135,NA,NA,Unk483,NA,SRR8615453,NA,NA,636850_1
HCC515,HCC515,CVCL_5136,NA,NA,Unk271,NA,SRR8615454,NA,NA,636067_1
HCC56,HCC-56,CVCL_2917,HCC-56.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E01_464724,NA,HCC-56,SRR8615451,NA,NA,NA
HCC60,HCC60,CVCL_G002,NA,NA,Unk547,NA,NA,NA,NA,636784_1
HCC630,HCC630,CVCL_V729,NA,NA,Unk426,NA,NA,NA,NA,636749_1
HCC70,HCC70,CVCL_1270,HCC70.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G03_410962,Unk175,HCC70,SRR8615452,NA,NA,587460_1
HCC78,HCC-78,CVCL_2061,HCC-78.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C10_293346,Unk514,HCC78,SRR8615460,NA,NA,636197_1
HCC827,HCC-827,CVCL_2063,HCC-827.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G03_542786,Unk393,HCC827,SRR8615284,NA,NA,635626_1
HCC827GR5,HCC827-GR5,CVCL_V622,NA,NA,NA,NA,SRR8615461,NA,NA,NA
HCC850,HCC850,CVCL_V694,NA,NA,NA,NA,NA,NA,NA,NA
HCC89,HCC89,CVCL_V731,NA,NA,Unk480,NA,NA,NA,NA,636205_1
HCC95,HCC-95,CVCL_5137,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E08_592780,NA,HCC95,SRR8615283,NA,NA,NA
HCE4,HCE-4,CVCL_1271,HCE-4.cel,NA,NA,HCE-4,NA,EGAF00000859717,EGAN00001266116,NA
HCT116,HCT-116,CVCL_0291,HCT-116.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A07_256014,Unk506,HCT 116,SRR8615282,EGAF00000660865,EGAN00001202169,636045_1
HCT15,HCT-15,CVCL_0292,HCT-15.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B09_256042,Unk16,HCT 15,SRR8615281,EGAF00000684904,EGAN00001202170,587499_1
HCT8,HCT-8,CVCL_2478,NA,NA,Unk17,HCT 8,NA,NA,NA,587500_1
HDLM2,HDLM-2,CVCL_0009,HDLM-2.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F02_490448,NA,HDLM-2,SRR8615280,EGAF00000859718,EGAN00001266117,NA
HDMYZ,HD-MY-Z,CVCL_1273,HD-MY-Z.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E04_293382,NA,HD-MY-Z,SRR8615279,NA,NA,NA
HDQP1,HDQ-P1,CVCL_2067,HDQ-P1.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E02_490412,NA,HDQ-P1,SRR8615278,NA,NA,NA
HEC1,HEC-1,CVCL_1274,HEC-1.cel,NA,NA,HEC-1,NA,EGAF00000859719,EGAN00001266118,NA
HEC108,HEC-108,CVCL_2923,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G07_410954,NA,HEC-108,SRR8615277,NA,NA,NA
HEC151,HEC-151,CVCL_2925,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G05_410950,NA,HEC-151,SRR8615276,NA,NA,NA
HEC1A,HEC-1-A,CVCL_0293,NA,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A10_293298,Unk267,HEC-1-A,SRR8615275,NA,NA,636778_1
HEC1B,HEC-1-B,CVCL_0294,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C05_698694,NA,HEC-1-B,SRR8615621,NA,NA,NA
HEC251,HEC-251,CVCL_2927,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F10_437438,NA,HEC-251,SRR8615622,NA,NA,NA
HEC265,HEC-265,CVCL_2928,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G01_410958,NA,HEC-265,SRR8615623,NA,NA,NA
HEC50B,HEC-50B,CVCL_2929,NA,SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_D07_592872,NA,HEC-50B,SRR8615588,NA,NA,NA
HEC59,HEC-59,CVCL_2930,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E07_437402,NA,HEC-59,SRR8615625,NA,NA,NA
HEC6,HEC-6,CVCL_2931,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D01_437526,NA,NA,SRR8615626,NA,NA,NA
HEKTE,HEK-TE,CVCL_WS59,NA,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_H03_780240,NA,NA,SRR8615627,NA,NA,NA
HEL,HEL,CVCL_0001,HEL.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C09_698706,Unk133,HEL,SRR8615630,NA,NA,587410_1
HEL9217,HEL-92.1.7,CVCL_2481,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G10_410948,NA,HEL 92.1.7,SRR8615628,NA,NA,NA
HELA,HeLa,CVCL_0030,HeLa.cel,NA,Unk487,HeLa,SRR8615629,EGAF00000859720,EGAN00001266119,636798_1
HEMCSS,H-EMC-SS,CVCL_1238,H-EMC-SS.cel,NA,NA,H-EMC-SS,NA,EGAF00000824141,EGAN00001252836,NA
HEP2,HEp-2,CVCL_1906,NA,NA,Unk536,Hep-G2/C3A,NA,NA,NA,636435_1
HEP3B217,Hep_3B2_1-7,CVCL_0326,Hep_3B2_1-7.cel,NA,NA,Hep 3B2.1-7,SRR8616130,NA,NA,NA
HEP3B217,Hep-3B2.1-7,CVCL_0326,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G09_464664,NA,Hep 3B2.1-7,SRR8616130,NA,NA,NA
HEPG2,Hep-G2,CVCL_0027,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C06_256060,Unk438,Hep-G2,SRR8616129,NA,NA,636795_1
HEY,Hey,CVCL_0297,Hey.cel,NA,NA,HEY,NA,EGAF00000859721,EGAN00001266120,587673_1
HEY1,HEY1,character(0),NA,NA,Unk215,NA,NA,NA,NA,NA
HEYA8,Hey-A8,CVCL_8878,NA,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E02_246708,NA,HEY A8,SRR8616132,NA,NA,NA
HGC27,HGC-27,CVCL_1279,HGC-27.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C05_411052,Unk501,HGC-27,SRR8616131,NA,NA,636885_1
HH,HH,CVCL_1280,HH.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_G01_335332,NA,HH [Human lymphoma],SRR8616134,NA,NA,NA
HK2,HK-2,CVCL_0302,NA,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F02_780330,NA,NA,NA,NA,NA,NA
HL60,HL-60,CVCL_0002,ega-box-03_HL-60.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D12_246704,Unk617,HL-60,SRR8616133,NA,NA,639162_1
HLC1,HLC-1,CVCL_5529,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_F11_592724,NA,NA,NA,NA,NA,NA
HLE,HLE,CVCL_1281,HLE.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A06_437342,NA,HLE,NA,EGAF00000860154,EGAN00001266121,NA
HLE,HLE,CVCL_1281,HLE.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A06_437342,NA,HLE,NA,EGAF00000860154,EGAN00001266121,NA
HLE,HLE,CVCL_1281,HLE.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A06_437342,NA,HLE,NA,EGAF00000859722,EGAN00001266121,NA
HLE,HLE,CVCL_1281,HLE.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A06_437342,NA,HLE,NA,EGAF00000859722,EGAN00001266121,NA
HLF,HLF,CVCL_2947,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E06_256108,NA,HLF,SRR8616135,NA,NA,NA
HLFA,HLF-a,CVCL_2255,NA,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F08_437208,NA,NA,SRR8616136,NA,NA,NA
HM7,HM7,CVCL_6670,NA,NA,Unk505,NA,NA,NA,NA,636046_1
HMC18,HMC-1-8,CVCL_2949,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A10_437568,NA,HMC-1-8,SRR8616127,NA,NA,NA
HMCB,HMCB,CVCL_3317,NA,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_E04_246712,NA,HMCB,SRR8616126,NA,NA,NA
HMEL,HMEL,CVCL_IZ34,NA,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G07_780268,NA,NA,SRR8616207,NA,NA,NA
HMVII,HMV-II,CVCL_1282,HMV-II.cel,NA,NA,HMV-II,NA,EGAF00000824142,EGAN00001252837,NA
HMY1,HMY-1,CVCL_2950,NA,NA,Unk503,NA,NA,NA,NA,636865_1
HN,HN,CVCL_1283,HN.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B12_490428,Unk519,HN,NA,EGAF00000859723,EGAN00001266122,636130_1
HNT34,HNT-34,CVCL_2071,NA,NA,Unk134,NA,SRR8616208,NA,NA,587412_1
HO1N1,HO-1-N-1,CVCL_1284,HO-1-N-1.cel,NA,NA,HO-1-N-1,NA,EGAF00000859724,EGAN00001266123,NA
HO1U1,HO-1-u-1,CVCL_2784,HO-1-u-1.cel,NA,NA,HO-1-u-1,NA,EGAF00000859725,EGAN00001266124,NA
HOP18,HOP-18,CVCL_H642,NA,NA,NA,NA,NA,NA,NA,NA
HOP62,HOP-62,CVCL_1285,HOP-62.cel,NA,Unk398,HOP-62,SRR8616205,NA,NA,635629_1
HOP92,HOP-92,CVCL_1286,HOP-92.cel,NA,Unk441,HOP-92,SRR8616206,NA,NA,635630_1
HOS,HOS,CVCL_0312,HOS.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H09_464634,NA,HOS,SRR8616211,NA,EGAN00001236646,NA
HOSMNNG,HOSMNNG,CVCL_0439,NA,NA,NA,NA,NA,EGAF00000773581,NA,NA
HPAC,HPAC,CVCL_3517,HPAC.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D07_335272,Unk231,HPAC,SRR8616212,NA,NA,587695_1
HPAFII,HPAF-II,CVCL_0313,HPAF-II.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C04_411050,Unk230,HPAF-II,SRR8616209,NA,NA,587696_1
HPBALL,HPB-ALL,CVCL_1820,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D06_542944,NA,HPB-ALL,SRR8616210,NA,NA,NA
HRT18,HRT-18,CVCL_2514,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A02_578394,NA,NA,NA,NA,NA,NA
HS172T,Hs-172.T,CVCL_0660,NA,SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A02_592978,NA,NA,SRR8616203,NA,NA,NA
HS229T,Hs-229.T,CVCL_0698,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F01_464686,NA,NA,SRR8616204,NA,NA,NA
HS255T,Hs-255.T,CVCL_0707,NA,NA,Unk300,NA,SRR8615417,NA,NA,636752_1
HS274T,Hs-274.T,CVCL_0711,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C04_542930,NA,NA,SRR8615416,NA,NA,NA
HS281T,Hs-281.T,CVCL_0715,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D05_542840,NA,NA,SRR8615415,NA,NA,NA
HS294T,Hs-294T,CVCL_0331,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H09_578438,Unk550,Hs 294T,SRR8615414,NA,NA,636143_1
HS343T,Hs-343.T,CVCL_0726,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G05_578300,NA,NA,SRR8615421,NA,NA,NA
HS38T,Hs-38.T,CVCL_0735,NA,NA,Unk616,NA,NA,NA,NA,639153_1
HS445,Hs-445,CVCL_0761,Hs-445.cel,NA,NA,NA,NA,EGAF00000859726,EGAN00001266125,NA
HS571T,Hs-571.T,CVCL_0802,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B12_256048,NA,NA,NA,NA,NA,NA
HS578T,Hs-578T,CVCL_0332,Hs-578-T.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F02_335310,Unk176,Hs 578T,SRR8615420,NA,NA,587462_1
HS600T,Hs-600.T,CVCL_0814,NA,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B04_490386,NA,NA,SRR8615419,NA,NA,NA
HS604T,Hs-604.T,CVCL_0816,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D05_411026,NA,NA,NA,NA,NA,NA
HS606T,Hs-606.T,CVCL_0819,NA,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A11_437328,NA,NA,SRR8615418,NA,NA,NA
HS611T,Hs-611.T,CVCL_0823,NA,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G01_437230,NA,Hs 611T,SRR8615966,NA,NA,NA
HS616T,Hs-616.T,CVCL_0825,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F11_464674,NA,NA,SRR8615424,NA,NA,NA
HS618T,Hs-618.T,CVCL_0827,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D09_437422,NA,NA,SRR8615782,NA,NA,NA
HS633T,Hs-633.T,CVCL_0832,NA,NA,NA,NA,NA,EGAF00000859727,EGAN00001266126,NA
HS675T,Hs-675.T,CVCL_0836,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H08_464646,Unk665,NA,SRR8615783,NA,NA,639158_1
HS683,Hs-683,CVCL_0844,Hs683.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D02_437280,Unk373,Hs 683,SRR8615784,NA,NA,636121_1
HS688AT,Hs-688(A).T,"CVCL_0846	",NA,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H12_490414,NA,Hs 688(A).T,SRR8615785,NA,NA,NA
HS695T,Hs-695T,CVCL_0851,NA,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B09_246650,NA,NA,SRR8615778,NA,NA,636088_1
